2.000000000000000000e+00,1.750000000000000000e+01
2.500000000000000000e+00,1.700000000000000000e+01
3.000000000000000000e+00,1.650000000000000000e+01
3.000000000000000000e+00,1.600000000000000000e+01
3.000000000000000000e+00,1.550000000000000000e+01
3.500000000000000000e+00,1.500000000000000000e+01
4.000000000000000000e+00,1.450000000000000000e+01
4.500000000000000000e+00,1.400000000000000000e+01
5.000000000000000000e+00,1.400000000000000000e+01
5.500000000000000000e+00,1.400000000000000000e+01
6.000000000000000000e+00,1.400000000000000000e+01
6.500000000000000000e+00,1.400000000000000000e+01
7.000000000000000000e+00,1.400000000000000000e+01
7.500000000000000000e+00,1.400000000000000000e+01
7.500000000000000000e+00,1.450000000000000000e+01
7.500000000000000000e+00,1.400000000000000000e+01
