4.650000000000000000e+01,1.050000000000000000e+01
4.075159870663640760e+01,1.030667430570263932e+01
3.433032983400767080e+01,1.014703163346471726e+01
3.192598197130802617e+01,9.422492752976973307e+00
2.878407204854925183e+01,1.101503581501513551e+01
2.654386014710398811e+01,1.103608393924663567e+01
2.556049243975808949e+01,1.179111396548146118e+01
2.225936437655413513e+01,1.282455293042784206e+01
1.756656861769005573e+01,1.331837769550425676e+01
1.021139283884091320e+01,1.363335316345362003e+01
9.688625211254723979e+00,1.040660614836088094e+01
6.118964519122759071e+00,1.295679899073130592e+01
5.000000000000000000e+00,1.350000000000000000e+01
